"order_id","order_estimated_delivery_date","order_delivered_customer_date","days_late"
"035d66b23a4bba74f8119f9ebe3458ee","2018-06-05 00:00:00","2018-06-06 14:12:25",1
"55779fa8fe072d9f8c92d672154558f2","2017-10-04 00:00:00","2017-10-08 15:40:04",4
"cae550bd1bf7bfba357a10319a0fb4be","2018-08-01 00:00:00","2018-08-05 11:42:39",4
"b3f352a3b3887a501a98642fa5840e66","2018-02-08 00:00:00","2018-02-16 21:46:42",8
"fe58b25c8ebdc65c3d4cb34070bf9e5d","2018-03-12 00:00:00","2018-04-02 16:12:35",21
"b687f81e0e59c1153eaa197ad1c1d043","2018-03-15 00:00:00","2018-03-19 23:46:25",4
"08cef746691fa27e23fe2c32a02c0e21","2018-03-26 00:00:00","2018-04-06 18:32:18",11
"3d89350fbbbebf725356d7abe70f17a0","2018-02-22 00:00:00","2018-02-27 21:22:33",5
"4c8c092a897404409eb4858b2c35f100","2018-08-10 00:00:00","2018-08-14 17:51:20",4
"4801b9cf238c2c9098bd66a5f092c2da","2017-12-29 00:00:00","2018-01-08 20:54:56",10
"4f39a94d6e474819d898d6df7d394996","2017-05-30 00:00:00","2017-09-19 13:54:18",112
"49d82571c200aac8b226cae094dc8f0c","2018-07-05 00:00:00","2018-07-26 15:12:37",21
"ab18ff09f55ca3ccc4dbf5bed2c9036d","2018-04-16 00:00:00","2018-04-19 18:44:55",3
"1cf0fc2c07de89a211f8dcf9ff5af15b","2018-08-15 00:00:00","2018-08-18 18:21:11",3
"614990b55e705d163e360ad21ed63a30","2018-06-08 00:00:00","2018-06-12 20:21:27",4
"b7441c24c727cdf423f8339a62447193","2017-12-11 00:00:00","2017-12-18 15:19:08",7
"e194f9ac9793de14b87eecf9b3532421","2018-04-11 00:00:00","2018-04-18 22:08:40",7
"082c7986084072affce4f8c0a20a39df","2018-03-19 00:00:00","2018-03-23 19:14:33",4
"94a224f03c816cd9a1d94b886e26da80","2018-04-02 00:00:00","2018-04-13 19:14:49",11
"98886a41872c9df13b990863b330f710","2018-08-15 00:00:00","2018-08-16 19:28:39",1
"ffdd178654127ccf34a439e8704fecd9","2018-04-04 00:00:00","2018-04-07 13:16:50",3
"34871174fe1f4c68f7efac5e5b3fbbde","2018-08-27 00:00:00","2018-08-30 16:03:02",3
"324bba1a05579faca9bea05049eda757","2018-04-05 00:00:00","2018-04-09 13:02:55",4
"d16b2207d93383dc91aa5da54cec3d0a","2017-12-15 00:00:00","2017-12-27 15:47:59",12
"a02af2d708eae3995c247d758141efc8","2017-12-04 00:00:00","2017-12-10 20:04:07",6
"d1c6fa11a0fb958619647d438f9e4849","2018-07-25 00:00:00","2018-07-26 16:08:03",1
"d30c22b84ba5239f2ae0fc078be7611c","2018-08-14 00:00:00","2018-08-22 14:15:51",8
"d7746bb26fc8c125b8f286378c23049d","2017-06-26 00:00:00","2017-07-03 17:04:42",7
"442dccfb1443cb7035f2b7810f974dd9","2018-05-02 00:00:00","2018-05-11 00:39:08",9
"b80e879030f825a648abffe9d993ff6a","2018-03-26 00:00:00","2018-03-27 21:14:03",1
"80aa51679b1fef5a66ee92a688e44fa3","2017-12-15 00:00:00","2017-12-27 21:18:28",12
"b357dd0e3d6572e28d060309c0ab339f","2017-12-11 00:00:00","2017-12-20 15:44:48",9
"f5af86a3bea41e5daef5c06e7a02ad2e","2018-08-13 00:00:00","2018-08-20 15:55:42",7
"a8aa8c2af7ddd7b246469a7d4a53ed75","2018-04-11 00:00:00","2018-04-13 01:04:05",2
"f230041025cb889113e0999362dc2ad1","2018-04-11 00:00:00","2018-04-13 20:03:22",2
"d6a2e1d3b958b6c5cb3af6f1d4d4a203","2017-12-07 00:00:00","2017-12-08 22:46:47",1
"860a775a4c01146f0dac9eebe2ac8461","2017-12-21 00:00:00","2017-12-28 12:45:03",7
"4f1330720e5aa2d61a474c63620fc42b","2018-02-15 00:00:00","2018-03-02 18:51:31",15
"f92ebc52a42344683b930dfb16d2f317","2017-12-18 00:00:00","2018-01-16 13:09:55",29
"f099e70d7cf0a758ccb7fb362d477166","2018-03-26 00:00:00","2018-04-10 01:34:26",15
"245d1537baa4ed68d968e3c0f2ca5d16","2018-03-14 00:00:00","2018-03-20 14:32:41",6
"109b43dc12d67a5107cbbfb7fe98d0ae","2017-08-22 00:00:00","2017-09-19 14:18:08",28
"431deec11a68067a1366683c3614d364","2017-10-24 00:00:00","2017-10-30 21:34:17",6
"b8d83281a0c89e3157c9cd7c37ff7273","2017-09-22 00:00:00","2017-10-06 18:14:13",14
"ce9fc4b5d521bad32b0c3893b9b3788f","2017-12-06 00:00:00","2017-12-14 18:37:40",8
"f84f158d834dafae73fa8da8b11bea6d","2017-09-06 00:00:00","2017-09-18 18:23:45",12
"0904fb2c91a18099a0b7315f1ac9501b","2018-03-12 00:00:00","2018-03-17 02:13:03",5
"d2dee958cbda7c87cbc097cf2f5f6c1e","2017-12-01 00:00:00","2017-12-12 17:22:30",11
"893898b048df9dfeafedf2c86eb5037c","2018-03-13 00:00:00","2018-03-14 00:49:45",1
